Second 1, Entropy 0.000000
Second 91, Entropy 0.000000
Second 171, Entropy 0.000000
Second 3221, Entropy 6.403450
Second 51, Entropy 6.403450
Second 381, Entropy 6.411178
Second 3021, Entropy 6.392558
Second 701, Entropy 6.403223
Second 2831, Entropy 6.407564
Second 3301, Entropy 6.147885
Second 11, Entropy 6.391686
Second 101, Entropy 6.379193
Second 181, Entropy 6.391577
Second 3231, Entropy 6.319520
Second 61, Entropy 6.319520
Second 391, Entropy 6.380975
Second 3031, Entropy 6.422276
Second 711, Entropy 5.998734
Second 2841, Entropy 6.370686
Second 3311, Entropy 6.308751
Second 21, Entropy 6.381853
Second 111, Entropy 6.373389
Second 191, Entropy 6.370341
Second 3241, Entropy 6.379971
Second 401, Entropy 6.379971
Second 71, Entropy 6.379971
Second 3041, Entropy 6.379971
Second 721, Entropy 6.379971
Second 31, Entropy 6.374703
Second 2851, Entropy 6.379971
Second 3321, Entropy 6.379971
Second 121, Entropy 6.379971
Second 201, Entropy 6.379971
Second 3251, Entropy 6.379971
Second 81, Entropy 6.379971
Second 411, Entropy 6.379971
Second 3051, Entropy 6.379971
Second 731, Entropy 6.379971
Second 2861, Entropy 6.379971
Second 41, Entropy 6.379971
Second 3331, Entropy 6.379971
Second 211, Entropy 6.379971
Second 131, Entropy 6.379971
Second 3261, Entropy 6.379971
Second 3061, Entropy 6.379971
Second 421, Entropy 6.379971
Second 91, Entropy 6.379971
Second 2871, Entropy 6.379971
Second 741, Entropy 6.379971
Second 51, Entropy 6.403570
Second 221, Entropy 6.379971
Second 3341, Entropy 6.379971
Second 141, Entropy 6.379971
Second 3271, Entropy 6.379971
Second 431, Entropy 6.379971
Second 101, Entropy 6.379971
Second 3071, Entropy 6.379971
Second 61, Entropy 6.383867
Second 2881, Entropy 6.379971
Second 751, Entropy 6.379971
Second 231, Entropy 6.379971
Second 3351, Entropy 6.379971
Second 151, Entropy 6.379971
Second 3281, Entropy 6.379971
Second 111, Entropy 6.379971
Second 441, Entropy 6.379971
Second 3081, Entropy 6.379971
Second 71, Entropy 6.387217
Second 2891, Entropy 6.379971
Second 761, Entropy 6.379971
Second 241, Entropy 6.379971
Second 3361, Entropy 6.379971
Second 161, Entropy 6.379971
Second 121, Entropy 6.379971
Second 451, Entropy 6.379971
Second 3291, Entropy 6.379971
Second 3091, Entropy 6.379971
Second 81, Entropy 6.393528
Second 771, Entropy 6.379971
Second 251, Entropy 6.379971
Second 2901, Entropy 6.379971
Second 3371, Entropy 6.379971
Second 171, Entropy 6.379971
Second 3101, Entropy 6.379971
Second 131, Entropy 6.379971
Second 3301, Entropy 6.379971
Second 461, Entropy 6.379971
Second 91, Entropy 6.397505
Second 2911, Entropy 6.379971
Second 261, Entropy 6.379971
Second 781, Entropy 6.379971
Second 181, Entropy 6.383867
Second 141, Entropy 6.379971
Second 3381, Entropy 6.379971
Second 3311, Entropy 6.379971
Second 471, Entropy 6.379971
Second 3111, Entropy 6.379971
Second 101, Entropy 0.000000
Second 271, Entropy 6.379971
Second 791, Entropy 6.379971
Second 2921, Entropy 6.379971
Second 151, Entropy 6.379971
Second 191, Entropy 
Second 3391, Entropy 
Second 3121, Entropy 6.379971
Second 3321, Entropy 6.379971
Second 481, Entropy 6.379971
Second 111, Entropy 6.397505
Second 801, Entropy 6.379971
Second 201, Entropy 6.379971
Second 161, Entropy 6.403570
Second 281, Entropy 6.379971
Second 3401, Entropy 6.379971
Second 2931, Entropy 6.379971
Second 121, Entropy 6.383867
Second 3131, Entropy 6.379971
Second 3331, Entropy 6.379971
Second 491, Entropy 6.379971
Second 811, Entropy 6.379971
Second 211, Entropy 6.379971
Second 291, Entropy 
Second 3411, Entropy 6.379971
Second 2941, Entropy 6.379971
Second 131, Entropy 6.379971
Second 3141, Entropy 6.379971
Second 171, Entropy 6.379971
Second 501, Entropy 6.379971
Second 3341, Entropy 6.379971
Second 821, Entropy 6.379971
Second 301, Entropy 6.379971
Second 3421, Entropy 6.379971
Second 2951, Entropy 6.379971
Second 221, Entropy 6.379971
Second 141, Entropy 6.379971
Second 511, Entropy 6.379971
Second 181, Entropy 6.379971
Second 3351, Entropy 6.379971
Second 3151, Entropy 6.362670
Second 831, Entropy 6.379971
Second 311, Entropy 6.379971
Second 3431, Entropy 6.379971
Second 2961, Entropy 6.379971
Second 231, Entropy 6.379971
Second 151, Entropy 6.397505
Second 191, Entropy 6.383256
Second 521, Entropy 6.379971
Second 3361, Entropy 6.379971
Second 321, Entropy 6.379971
Second 841, Entropy 6.379971
Second 3161, Entropy 6.379971
